Tweet index	Tweet text	Label
97	Planned on an early night last night.. Oh yaa course that happened.. #not #gotinterupted	1
44	That moment when you have so much stuff to do but you open @tumblr ... #productivity #not #tumblr	1
2603	FNC is likely either repeating the same stuff over & over, @jerryjizzum753 @TheLexZane @Gumlegs @1_Free_Man @Life_DLL @ABPT_Rocket @Anan_VII	0
2214	@jpanimages Is it on display at any given time at Ryerson?	0
890	Why isn't there a playoff legend Romo? @EASPORTS_MUT #Sarcasm	1
2755	I cut my dominant tweeting finger on the milo tin. But as you can see, I'm a survivor.	0
26	Amazingly http://t.co/NEioZuNbLD is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32	0
3482	My husband thinks I'm crazy because I taped my tape dispenser. Hehe. I'm handy like that. #Not.... http://t.co/rhKEpQ7pWs	1
1843	Photo: #whynot? #why#not #pop#art #artist @whirleytimes #whirleyshot #whirleystudio #sharpie #acrylics... http://t.co/5CEDFL7SHL	0
680	@TNADixie @IMPACTWRESTLING @DestAmerica Fuck yeah! 600 more viewers! #Sarcasm	1
2027	3:30am is a great time to learn the male reproductive system. with the biggest and brightest power point slides ever. #not #biology	1
782	Just realized that the name of the comic sans' creator means asshole in French #nooffense #irony	1
2580	"#NOT #A #TERROR #ORGANIZATION .... #Hamas man killed, 3 injured in ""suspicious explosion"" in #Gaza http://t.co/lzNIhVqHFI #Israel"	0
3478	Turning in my paper then coming back home and studying #perfectday #not	1
1502	#irony how half of the world is suffering from obesity and the other half is dying of famine!!!!!	1
3121	7:52am (too damn early) in South Carolina.. What a shitty state to #Not be proud of	0
2607	WOW !!! Really ??? Homework in the weekends?! #not #talkingabout #theteachers😡😡	1
3779	It's brrrrrrr kinda feel & who would go to the kitchen to make coffee ....	0
2278	@hirefrank @MTA OMG want one, but I have EasyPay Express. This would mean I would only use it to ride PATH. #irony	1
3635	Why couldn't I just stay sleeping	0
3498	"Spiky popularity of the name ""Spike"" in the U.S. RT @randal_olson Baby name #irony. #dataviz Source: http://t.co/WAm4OzLfWo"	1
68	Whenever I get sad about how things are going now, I just think of how awesome the future looks to be. #secondsemester #drumcorps #college	0
2275	This is a song??? Awful!! http://t.co/5wBneRXGQF	0
2725	@ajb_16 shouldn't you's be in school??	0
2681	So far today is going AWESOME. #not #fuckoff	1
2456	THEY #CAN'T BE #IDENTIFIED|#UK should #NOT ALLOW more #SYRIAN REFUGEES #ENTRY among them will be #ISLAMISTS potential #TERRORISTS	0
2333	@YodelOnline Hi! I have just received a photo of my dear parcel from China, amazing he is travelling around the world!! #irony	1
32	A wonderful day of starting work at 6am #Sarcasm	1
1510	My future? I still enjoy it (playing football) too much and I play with passion -Totti......oh no the team is doomed..... #asroma #sarcasm	1
2176	@DEvanAltman was completely sensationalized. Inferring that Cubs weren't serious about winning until Wednesday is a joke.	0
2752	I just swallowed my giant lozenge. Now my throat actually hurts. I'm glad I have Twitter to share my despair. #sick	0
1722	People these days are so loving, accepting, and nonjudgmental. It's great. #sarcasm	1
611	#sup#twitter#sorry#i#not#talking#alot#so#i#thort#i#sould#just#say#hi	0
1293	Ooh! Someone knows how to click the 'Unfollow' button. I'm impressed! #sarcasm #beforeCoffee http://t.co/Cm1UldR6d5	1
571	Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch #Sarcasm	1
3549	Finals are over! Stress free. |Cant wait!!!✈️❤️🎄	0
344	@DollyGarland @garrettaddison: Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015.	0
1971	Gutted Doyle has gone back to #wwfc. I don't think we saw what he's capable of. #cpfc #sarcasm	1
1933	i can always count on freshmen to make the library loud. THANKS #sarcasm	1
679	2 a.m. trips to Walmart for mess are always fun. #sarcasm	1
2374	I absolutely LOVE moving house #NOT	1
2909	Fun fact: I have a color guard rifle named Stitch after I got stitches from it plus Stitch is my fav!	0
880	@sophiaqualquer what for ? waste of time...:)	0
3138	@TonyBrown03 @ParkzTheDon @bigedh456 if not your 👊👊 box them up yeah 😂😂	0
3098	Was swarmed by about 40 teenage girls as I walked in the mall...help. At least they were leaving right?!	0
3273	#Fact: #StarTrek adult onesie meets clothing requirements 4 Walmart employee. Just put on yr vest & a smile. #irony http://t.co/2RhG2iJjNB	1
3521	@Irrational_Fan: I can't stand watching a #UKvsLOU game with a Louisville fan! They're as bad as Steelers fans. #BBN @DonnieDruin #Irony	1
57	None of the big, disruptive innovations in our lives have come out of brainstorming. -Bruce Nussbaum http://t.co/ituc6zpusB	0
1115	"My dad would have a shotgun ready|""My dad would offer him a beer""|""My dad would ask him to join his clan""|😂 @rannimarti @Hartswormx3"	0
1977	@LitaMacWolfZERO as far as what? A room?	0
2460	How the fuck do u come out of a commercial injury break w a delay of game? #Redskins	0
3321	@sashadaisical @JOJEHARVEY definitely the latter : o	0
928	@APMarkLong but it wasn't as bad as that picture seemed to indicate.  You're still a very horrible person.  #sarcasm	1
1657	@UKLabour ||How dare @David_Cameron not pass legislation to force people to catch buses on those routes. Should be a life in jail.||#sarcasm	1
577	!! @DatWaveMagazine #2n1Edition @Marvelousuk @MAZIMONTANA @skinny49 http://t.co/oRT6ZYfGhx	0
3094	@kwelch31 Really? #Sarcasm	1
2651	@LiamFoxtrot He's been half paced all season, Henderson would be a bigger loss	0
3017	I'm getting excited about Mexico now. #sarcasm	1
2412	I'm officially on Twitter!####not sure what to do after all these pound signs?!?!	0
529	@51allout Kohli showing all the guts of Scooby Doo. #CaptainCourageous #Not	1
177	Insanity is doing the same thing twice and expecting different results	0
916	Been the problem, actually. RT @OBtoojiveforyou: @WashWizards tough road trip. cant win em all but coaching has not been strong.	0
423	Maybe 2 different proposals! The girl is wearing different shoes and the guy is wearing a different coat. @cjsinner @onecolleen	0
681	@zenzontlee A lot of ingredients. More specifically.... Like a lot a lot	0
2998	2 1/2 hour nap then up for a ct scan at the hospital. perfect timing. #not	1
1848	#irony Obama's $1,176,120.90 in Taxpayer Funded Costs to Attend Political Fundraisers in Los Angeles, San Francisco http://t.co/2PmAt1l7rO	1
2261	@Sheriff1972 @SteveMay_UK Will probably get to write more about the show by doing so ... #irony	1
1449	@SouthamptonFC @whufc_official Yeah thanks for that! #not	1
573	@SqueezeMy_Lemon @RealSports @MapleLeafs @TORHABSFAN well played Matt. Well played.	0
1000	@jordyn_eaton wants me to get hit by a bus so she can get a 4.0 #bestroomieaward #not	1
3330	#Sometimes the best thing you can do|is to not think,#not worry,#not obsess.|Just have faith that everything will|work out for the #best.	0
289	me at restaurants: Is there wi-fi?|me at beach: Is there wi-fi?|me at family parties: Is there wi-fi?|me in hell: Is there wi-fi? #wifi	0
1111	Wow I really have the best luck known to man #not 😅	1
3386	stop subtweeting 😉 #irony	0
3610	First final of the day done, only three more to go. #greatscheduling #sarcasm #incaseyoucanttell	1
1975	Hmmm what to have for dinner	0
3669	#Irony We cram 5 minutes before an exam and get a tag of qualified person.	1
1273	Follow> @StartOnlineHere now for great tweets about starting an online shop! http://t.co/XYabZWuO5w StartOnlineHere	0
178	3 hours sleep yay loving life #not	1
1749	Wickedly ignorant bout Black Americans see racism in everything'#Not a figment of their imagination#Cannot be trumped by J'can hypocrisy#NNN	0
1256	@Mark_Coker gun laws will fix everything #not	1
1579	Sometimes I wonder, am I the mouse, or am I the experimenter?	0
908	It's such a joy to wake up sick again and not be able to use the one arm I do everything with. #not	1
2845	Aaaaaaand...I left my work computer at home. Now I have to go get it. #BestDayEver #sarcasm	1
2968	"Well done @Conservatives, you're doing a great job #sarcasm ""@SkyNews: A&E Waiting Times Worst Since Records Began http://t.co/bKkeZqtEuL"""	1
2773	@Ron_Peterson to tell you the truth, that may have been the smartest thing you've ever tweeted. #sarcasm #ireallythinkyouareafuckingidiot	1
371	@edryden33 ill see if I can 😉	0
1069	The Penguins cancelled their morning skate today...due to icy conditions. #irony #butseriouslytheroadsarebad	1
3754	Headed to Huntsville, TX this afternoon. Try to contain your jealousy.|#Sarcasm	1
730	If this year wld be filled w all these rainy days it wont be so cool#not a cool way to start e year	0
599	My son is so thoughtful he loves taking snacks for the class.# always thinking of others #raising him right #not selfish	0
2316	@bustedcoverage @ChaseDarby6 world's greatest fans....#sarcasm	1
1028	Couldn't agree more! RT @Champ_Payne: Nothing makes me feel more special than receiving an automated DM. #not	1
2461	#notcias #eu #europ How Santa Juncker can bring the gift of a healthier EU http://t.co/f6h25c4zsu	0
2975	Huge for @TomPelissero RT @FallonTonight Congrats to today's #12DaysOfChristmasSweatersContest winner @sarapelissero! http://t.co/HI0ja9f5NQ	0
1432	Chenua Achebe - when things fall apart	0
1809	@Neilby70 yeah not to bad been asleep most of it my backs been playing up so been on strong painkillers that knock me out 🙈	0
1012	@mrcitythinks amazeballs. #superman #sarcasm	1
142	I miss the days when all my close friends lived in the same city.	0
3220	We spend our childhood in a hurry to grow up and when we grow up we want to retain our childlike nature! #justsaying #irony #lifegoals #kids	1
1599	@AuntFlo_28 a day or two after.	0
492	I love watching liverpool truly inspiring #not	1
666	I think #Stars are just the most gorgeous things in this world ✨	0
2175	Always forget how good the F.E.A.R is by Ian Brown 🎧 #singingoutloud #TUNE	0
1026	Another great day on the #TTC. #sarcasm	1
199	@michelledean @AVAETC not playing out in the provinces like, oh, Mississippi. #irony	1
1633	@FlTNESS:Let's go workout! That jiggle is not going to jiggle itself away #ThingsYouSayToYourBestFriend this is so us #not @dearrcatherine	1
655	@TheHockeyNews @THNRyanKennedy not bad for a kid from Az. Hockey doesn't work in the desert. #sarcasm	0
472	#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters	0
1221	@cringetalk @geob157 ^^^^ IMAGINE THAT? Never would have guessed #sarcasm	1
1477	Coin ! WatcherOnAWall: Anyone else find it sad that we have to remind Conservative Republicans that Torture is wrong? #TortureReport #Not...	1
760	#Big #match #verdict: Tottenham's #Chelsea #loss #was #NOT #another #dark #night #at #the ...: There was no end to... http://t.co/ozmBpRPR95	0
2634	@roshpot So tht we can look into yr acc specifically we wld need to speak with you over the phone. Calls are charged at...	0
1045	"#LeBron #James: '#Violence #is #not #the #answer': LeBron James said Thursday that ""violence is not the answer and... http://t.co/GPz3D9TIUV"	0
2824	"By @imjayded_ ""🔥🔥🔥@dipmag Gears up to release its next issue🔜 'Wifey Series' with #covermodels... http://t.co/DQrKfjmYvL"	0
70	Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm #irony its for a customer I hope!!! http://t.co/KDx0FhVqCW	1
3723	I'm not in enough dance practice whatsapp groups yet. #december #winter #weddingseason #sarcasm	1
3151	@Gemheartbeat @MOOGLExox neither can I, I'm gonna have an ambulance pre-booked gorj💜💜💜	0
1335	#notcies #eu Ebola leaves hundreds of thousands facing hunger in three worst-hit countries http://t.co/g79X9se31R	0
196	@lionhart32 @Dosta1 @BSButcher My,Nephew stopped a lot. His long hair. looks like a drug dealer. Never smoked anything Pills?not an aspirin.	0
533	@wecameashailee: 10 HOUR CAR RIDE AND I CANT SLEEP IN CARS YAYAAYAYAYAYAY. #sarcasm have fun bff!	1
3810	Montana Of 300 14 - THE BEST Versace Remix IN THE...: http://t.co/saAk4k9uzQ this dude goes off	0
875	People who don't get #sarcasm: you are THE BEST!	1
2334	@eiafc seriously in the clothes section F&F	0
2237	@DlSCORD @FoxNews Hates his anti-American/anti-Constitution policies and actions. Fixed it for you.	0
2996	Ã¢ËœÅ Find out about some of our Hip Hop mixtape promotion packages http://t.co/VR5hZyjISP	0
1873	Left home at 7.30am and still trying to get to work. I just want to cry!! #happymonday #not	1
1136	@MarcotteJN @KillerKalen yeah I'm avoiding you by waking up at 6 AM my time so by 10 PM I'm exhausted. #sarcasm #sucksimissedyou <3	1
228	@MatthewWRossi getting power from wind is so outdated and unsightly, we should be siphoning it directly from the sun by now. #sarcasm	1
813	@RadhikaMukherji y r women considered inferior2men by society even wen in most of d families 2day men need women4decision making! #irony :D	1
841	@salgovernale No clue what you were talking about? Well that's a first! #not	1
556	My dads letting me drywall with him for Christmas. Just what I always wanted. #not	1
3607	@falchions i wanna do mine but im a pussy #irony	1
3464	http://t.co/wrrxlBdRBI #TeenAnalCasting #What What is the Creampie Crusade?	0
2426	@RealAlexJones but they put it in soaps and shampoo! It's healthy! #sarcasm	1
1539	@adambelz @lee_osp @Vruno is this your first visit to a comment section?	0
1607	Time to continue cleaning out my closet. Happy, happy, joy, joy. #sarcasm	1
3750	Why can't heroes be happy in DC Comics? I mean even their great flagship romance (#sarcasm ) is a Fauxmance and will bring about destruction	1
848	i need to start going to bed earlier...smh, goodnight everyone, or should i say goodmorning haha #morning #not... http://t.co/cGCD326NWF	1
906	Oh how I love fainting randomly  #not	1
632	I can't waitlove#this#is#love#and#you#cAn#not#tell#me#how#much#this#is#gonna#last#beth#rip#twd#forever#bae... http://t.co/HGOILGoFoS	0
3087	Wow writing 3 reviews on 3 concerts I didn't attend is exactly what I want to be doing right now instead of sleeping #NOT	1
2325	Watching Christmas movies alone is like so much fun. #not	1
2622	@HallieCiera haha I'm going to have fun with it next year. #not	1
163	@BrandonTierney I also support instantly murdering 12 year olds with fake plastic guns in public parks...	0
1926	The ER sucked tonight ... Urgent Care tomorrow .... YAY #not #fml #ugh	1
220	Say no more.... #bigclub #not http://t.co/ALcQQsASsY	1
3298	@vincent_h3 At 2:30am? Who's gonna favourite it? An owl?	0
1721	I shouldn't lose a full day of work because of system updates, but it happened yesterday. #fuckingwindows	0
2123	Happy stfx day! Lost my #Xring in '12. It was found 2 mo's later glistening on the 18th green of Lost Creek Golf Club. #xringmiracle #irony	1
2549	#nuffsaid #sarcasm #stupidity #hadenough lols 😂😃 http://t.co/0iSZ1ExuLn	0
1227	😒 Half of the testing group was very helpful today. #sarcasm	1
926	Bday lily painting for @laryssam27 💜 http://t.co/IAzvrBec91	0
3705	@walshamboy @TRobinsonNewEra @UKLabour there's a link somewhere just can't quite put my finger on it #sarcasm	1
548	Can't even explain how excited I am for tomorrow. 💯🏀	0
3047	Just received an email that I am the heir to the Nigerian Petroleum Corporation. I should immediately send them all my bank info. #sarcasm	1
2660	@Alan_Juventino I don't blame you bro, if i was married to @ClaudiaRomani I too would support Milan 😊 http://t.co/8aTrR8ZEiE	0
3157	#034i #100 #Glitter #Inside #Just #Lamp #Not #Of|Please RT: http://t.co/vqdSrYluKI http://t.co/FAJXkzU0FG	0
1353	@Fleshframes plus my memory is short and I deleted all those pic you shared. Boom. #not	1
569	Getting my midterm back was such a great start to my day #NOT #badday	1
2462	this is fun #not http://t.co/Gw3t5ZiOTR	1
2151	"My grandma tells me she made raviolis to eat.. You know I yelled back ""fuck you I don't want no ravioli nigga!!!"""	0
1484	Love that I still have kids that still wake up early on Christmas #sarcasm #justkiddingIlovethem	1
2994	@KeirSimmons #not another Bush in the Whitehouse.	0
2474	Are you kidding me this is unacceptable http://t.co/Z9Ij5t2DI9	0
2847	Salt n Peppa's Geico commercial is literally the best, ever. Only one that beats it is Hump Day.	0
1851	I'm not really sure how I'm still alive and writing this paper right. Napping instead of sleeping on the weekends isn't cutting it #finals	0
612	You really know how to treat a girl #not	1
1817	If that's Man U at its best they have much bigger problems than us ;) #saintsfc. Then again we're still 5th #noproblem	0
2099	@DejanLovrenLFC6 your #ambition is #amazing. #sarcasm #saintsfc enjoy exit from #ChampionsLeague	1
3513	#USA: Senate summary report on #CIA detention programme must #not be end of story http://t.co/eFNfDOXclr # http://t.co/thk4aZ7OZE	0
2029	Such a good lie in #not	1
2407	Pretty sure there's a satanic baby in the apartment next door. Stays howling. Not crying. Howling. All day, all night. Ugh. #killmenow	0
2649	I don't think you get how embarrassing and trashy all of that really is... #not s'cute	0
743	somebody wake me up early tomorrow ive been facing weird aches in my back since early december .,. and why do u think that relates madaka	0
638	.@ThatNeilGuy Isn't it great how all those ppl have done a public mea culpa since that didn't happen? #sarcasm	1
260	Yesterday #PeshawarAttack was a top tag and today the only thing twitter nation seems to be concerned about is #PTIKeptPakFirst #irony	1
2338	@bigbillybmoney haha!! Noo I don't need new boob's my old ones are just fabulous 😝😝😝	0
582	@ceddamack The Raiders are. I guess we'll see how things play out tonight.	0
2182	Jack doesn't understand twitter. Thoughts?	0
3356	Wish I was still in bed with @BlakeNath 💗#ICouldSleepForeverRightNow 🔫😞	0
3562	#irony is that @GoodDaySac calling that show a train wreck.  Way to respect the guest, guys	1
1362	My Twitter account is worth $100.20, according to Social Account Worth Calculator. See how much you're worth http://t.co/mxFLRaALZQ	0
49	really, what else can a fish be besides a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48	0
1234	Best Christmas gift @taylorswift13 new album. http://t.co/jTbyb5ysjJ	0
922	This is the weather i just love walking to work in #not #worst #weatherbomb	1
3414	@hayesy316 @andrewwhiteau That's awful Ben, I know exactly how dreadful it is. Hugs x	0
757	Can't wait to see that he has not talked to me and that he will never do it. #irony	1
3272	Free Dating and Relationships Books #freebiebookdownload http://t.co/qcVGJ0mIFn #GreenLiving	0
2263	This is great... #NOT	1
1346	Never has an #Australia been more dependant on govt money than we are now #Sad #socialism #Unrealistic PEOPLE we spend more than we earn...	0
2466	Yay for knee machines! #not http://t.co/BNK8Z2LBsE	1
3518	thanks for appreciating me looking out of you and caring !! #sarcasm	1
2826	Why does sue give bonnie anxiety and stress pills #not	1
1718	WAIT the GA I have a crush on and emailed me and told me it was great to have me in class 😍❤😘 he totally loves me #not	1
1783	Wow thanks for the good vibes right before my exam, parents. #sarcasm	1
1109	Come to jhb to play volleyball on a fake beach #irony #work http://t.co/yS6wkgvT5y	1
3164	@VTUK @shaunesden @LivingQWales @RightSurveyors |Ha ha! Christmas cat looks well impressed #not	1
2427	@TylerJShock How do you score on someone?	0
1174	##to#our#countries#special#dedication#to#ma#Syrian#friends#you're#not#alone#instalisten#by#heart#voice# http://t.co/jOHtHVBKOw	0
2665	I miss how close we were. 😔	0
2807	I love my mom #sarcasm	1
3533	Well today is off to a great start, might as well be Monday #sarcasm	1
1787	@LizardPatrol wow u brought down xbox live arnt you amazing #not why don't you do something more productive like grow up	1
2050	If BJPee hv balls ,do dare to lift ristrictions 2mro ahead of Modi's #Kashmir visit,Kashmiris wl show u how much thy love #Modi.|#sarcasm	1
3453	@MaddentheTwiggy: So happy I got an offer from Trinity Laban, I'd take Greenwich over Leeds any day leeds is where it's at 💃✋ #NOT	1
2893	@davidvitty to watch re blues? Chelsea's of course #sarcasm	1
3743	"@TheStephenLynch: What's the opposite of a cheat day"" called? Because THAT'S what I only have one of per week"" |What he said."	0
3299	Wasn't the playoff supposed to make this process easier?? #NCAA	0
3352	Dont you just love Captchas? #sarcasm	1
2131	*looks at blackboard*|*calls life alert*|Help my grades have fallen and they can't get up	0
2500	"@kthbates96 yup gotta keep up with my ""frantic party lifestyle"". #Sarcasm"	1
1421	SEEING @AlpEmiel ON SATURDAY whaddddddup #legend #not	1
1732	@EdMartin_Music excited for 2015 its gonna be a good year for music ur gonna smash it #Ed🎤	0
1177	Ya and listening to them talk about how hot girls are is a favorite past time. -_- #sarcasm	1
3001	When I'm doing my hw at the same time with watching series. #1am #now #still #not #finish #my #work! # http://t.co/4EQjloPwnX	0
2273	I'll tell you what, those CEACCP books make a cracking bonfire, don't they? #frca #freedom	0
1133	Flooded basements are always a fun thing to deal with #Sarcasm	1
868	@falklands_utd @StanCollymore I'm sure you're all inconsolable #not	1
927	.@tomorrowstand Yup. That's exactly how we do it #sarcasm	1
998	@StephHammy I wonder if they have that in an audio book...	0
3772	I don't understand why anyone watches these bowl games. They don't matter. Great, a team outside the top 4 dominated. #dontcare	0
1223	So now its Hamilton on a Monday night? Thanks @BTSportSPFL for all those evening games you give us, saturday football is overrated! #sarcasm	1
1407	Thanks @garrynewman for taking down http://t.co/Putii8Waue <3 We all love you for this <3 #NOT	1
211	Yea, yea that's logical. #Not	1
1540	I shun the workplace chit chat, to look at what happening on twitter #irony #randomtweet	1
60	Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?	0
1583	Isn't the point to learn how to craft our own reality? What am I missing here? Should we not be different?  #not #wat?http://t.co/6r8ZnKS31F	0
1269	Babysitting night! Hoping my car doesn't get towed bc idk where to park 😰	0
3735	Nevermind, we're getting worked out there. We need Hump back in the game bc Gooden is playing terribly.	0
3829	Glad there's not a typhoon where we go on holiday in 4 weeks. #sarcasm #fml	1
766	@jerridsebesta my mom told me not to do it, but I'm fine	0
2107	That #moment when you don't wanna tell that person you been fuckin someone else.. Cause they might go fuck some else LOL o.O' #truth #irony	1
1707	Alright y'all, back to binge watching Legend of Korra like a muthafukn gangster.	0
2117	Thechicago firehouse restaurant goes up in flames. #irony #chicago #fire #cfd #workingpress #cbs #wbbm... http://t.co/H7VwVUry8P	1
3783	@KissStephanie @TeaPartyCat but they did uncover the hidden arsenals of WMD in iraq as a result of the (torture) enhanced interrogation #not	1
1870	@_XenaaSkky I.e., strength in numbers, focused movement, appeal to other countries, use pens and paper, change the way we live drastically.	0
1916	Cramps in the front, husbands knee in my back. Yeah. Sleep seems possible tonight. #Not #suckitmothernature	1
