"text"	"prediction"
"Miguel é tão sensível com a dor dos filhos né? Que pessoa mais humana, mais delicada...  Malhação LUDRIGO TÁ FAZENDO FALTA"	1
" para presidente da ABJ - Associação Brasileira de Jornalismo, para o fim do bairrismo na imprensa!! "	1
"A reforma trabalhista já é um grande avanço para alavancar a economia do pais e gerar empregos, mas ela sozinha não fará milagres"	0
"  D´BOA SIGO SIM DESCOBRIR  SEGUINDO"	1
"PREÇO DA GASOLINA: valor pode ser ... .Veja mais detalhes no site.   Brasil Economia NotíciasEmDestaque"	0
"Ficar muito gostosa mano "	1
"squaready differnze tra uomo e donna con l'influenza  verità ridere  "	1
"Mas terrorista néra só muçulmano?  - aos leigos "	1
"Secretário Belitani apresenta à Câmara projeto Salvador Simplifica  Economia "	0
"Feira CasaPronta movimenta economia de Tubarão - Contato Internet  CasaPronta economia"	0
"a favor da renovação (sempre bem qdo entrou). contra mais enquetes sobre o assunto: essa é a 10ª.  "	1
"mas parece que o Lille não se importe de doar ao Porto... Bem bom, não? "	1
"Temos mesmo que agradecer a este governo por tudo que tem feito por nós... "	1
"Uma dúvida Everton Ribeiro está no nível de Cirino? Os ST está chegando em 80k "	1
" Capaz... Clube sendo prejudicado em jogo contra o Corinthians??? Tem certeza? "	1
"Em mês histórico, Bolsa fecha em queda de 4% e JBS lidera perdas  via  INVESTIMENTO ECONOMIA"	0
"Até Pq a Palestina/Judéia fica no Ocidente né!!?!?  "	1
"Produção industrial avança 0,6% no melhor abril desde 2013   Economia..........................."	0
"Saudoso Sandro Meira Ricci retornará aos jogos do Cruzeiro no próximo domingo. Sujeito honesto e sempre imparcial em suas marcações. "	1
"Il nostro Eder ha vinto! destrosecco portugal portugalfrance italia euro2016 EuroCesarini campeoes "	1
"só jogaço hein? "	1
"Gente falando sobre consciência humana"" e coisa do tipo. Porque, claro, que audácia dos negros ter uma data só pra eles, né? """	1
"Vai ver o câncer do cara acusado de matar Celso Daniel foi causado pelo PT, tbm. "	1
" e o carnaval? hahahahaha "	1
"O que é a inflação?  ImpostoÉroubo  SerPobreEh BoaSemana Estado de Exceção economia Brasília BC"	0
"Isso que é ser de oposição a .  é o retratdo da verdadeira oposição SQN  "	1
"Começou o fim do mundo aqui na @soumamooor escureceu tudo e começou um vento forte kkkkkkkkkkk"	1
"RT @CDLaMusique_POA: ""Musique, quero comemorar minha sobrevivência pós fim do mundo no Projeto Sertanejo, com 4 VIPs."" RT para concorrer."	1
" es horrivelmente feiiiia, ja te tinha dito?  "	1
"Empregador doméstico tem até hojepara pagar eSocial de maio  economia"	0
"Pois é, pois é |  humor novidade trailer | Fique ligado. "	1
"Oposição pressiona e governo adia calendário da reforma…  NoticiasBrasilDOL Economia RBATV MetendoBroncaPA"	0
" Olha o cara tentando fazer um novo Orange is the New Black""..."	1
"Faz todo sentido....  "	1
"Pô FPF por que não mandaram a semi da copinha para o Moisés Lucarelli?Vão perder a minha presença no jogo."	1
" , rsrs"	1
"Horabaixes més que guais Dret assignatura treballsocial caca  "	1
"Escala mais Márcio Araújo, mais Cirino... Deixa o Massaraújo que ele é o volante típico de time campeão brasileiro. "	1
"para uma garota que não acredita no amor ter o filme UmAmorParaRecordar como favorito e uma grande ."	1
"Credo a serio parece q ja fiz ? porque? Expliquem !!  "	1
"Paulo Fonseca dá vida extra"" a Lopetegui... benfica SomosPorto"""	1
". libera hoje consulta ao primeiro lote de restituição do Imposto de Renda 2017  Economia "	0
" : todos os cargos ocupados na meritocracia.Nada de troca de cargos por apoio como faz o PT..."	1
" ohhh clarinhaaaa TadinhAA ela é uma pessoa tão boa rs "	1
" kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk pq será né????? "	1
"The latest  Diário Rafael Carvalho !  direito economia"	0
": p :p feliz noite aMor !.Obs: IRÓNIA :) :P"	1
"En aqest cas diguem  dura"" no sigui cas q ens acusin d sexistes  """	1
"Consulta ao primeiro lote de restituição é aberta nesta quinta  brasil economia 1ºloteirpf"	0
"Ostentação mesmo é pagar no cartão de débito. Quem aí está podendo abusar?  GostoDisso dinheiro cofrinho economia créditos"	0
"Vou me tranquilizar porque estamos acabando com a corrupção do país, não haverá retrocesso nenhum. "	1
". MOMENTS BOMDIA POLÍTICA ECONOMIA LAVAJATO BRASIL  'Se quiserem, me derrubem', diz Temer a jornal"	0
"Os direitos humanos vão zelar pelo devido processo legal, imbuído do amplo direito de defesa do Bolsonaro "	1
"Gosto da imparcialidade dos narradores de futebol da Rede Globo kkkk "	1
"Após quedas consecutivas, o PIB brasileiro apresenta avanço de 1% no primeiro trimestre deste ano:  economia PIB"	0
" dieta pra ficar mais magro que você já tá? "	1
"Sim!! Afinal todo empreendedor/ empresário é um explorador mau!! "	1
"voltei com pensamento em postes bem dedicados a pessoas tão boa na minha vida."	1
" Nem Tatiana e nem o mundo merece essa fatia de apoio"" extrema. Se é que me entende """	1
"Economia Já há dois milhões de carros elétricos em todo o mundo  Em "	0
"há tanta coisa linda nessa vida ..."	1
"Meu ponto alto do dia só não foi Rogue One pq eu me arrependo de ter saído da minha casa pra ter ido ver esse filme aff "	1
"se uma mulher usa óculos,ela automaticamente vira uma atriz pornô "	1
"é altruísta , implicaram até com ele dar palestras sobre como ser bom prefeito cobrando uma graninha"	1
"putamerda.. Já me sinto mais segura.. "	1
"O nome dela é mia "	1
"Bandidaaaaaaa puxa pelos cabelos ()"	1
"Volta aqui Podpress seu lindo <3 "	1
"Deve ter pego umas dicas com a Rachel Dolezal. Faltou escurecer a pele ... RacismoNaacp"	1
"Contas de luz de junho não terão acréscimo na tarifa  Economia "	0
"Tens jeito para a natação? - Ah claro...     "	1
"Melhor do que a trama é o  e a ... Isso torna as coisas mais engraçadas de se ver"	1
"Como a  está prosperando mesmo com a crise:  varejo maquiagens cosméticos economia "	0
"Parabéns ao  que só contrata médicos com doutorado!  Em documento oficial não dá, né?! "	1
"Cansei de militar. Pedi adiantamento para continuar pretalhando nas redes e disseram que nem se reeleita amanhã, só dia 05 mesmo. "	1
"Só digo a ele pra tomar cuidado pra o avião não cair!  "	1
"Mercado reduz estimativa de inflaçãoe prevê crescimento maior do PIB  economia"	0
"    votar por botar! Ironía"	1
"Para que saúde e educação não é mesmo ."	1
"Complimenti a  e benvenuta sia "	1
"é à escolha do freguês... e tem dias em que pode usar a trilogia desabafo vida  "	1
" No. Es falta de memoria. Ironía"	1
"Alguém aí sabia que a excelente defesa do Corinthians não cometeu"" NENHUM pênalti durante todo o campeonato? Que fenômeno... """	1
"O pobre é chamado de ladrão e o deputado rouba com alegria.. "	1
"Hoje fomos na praia e achamos uma loja de vinhos e espumantes.. e olha o que compramos: http://t.co/sK1jSTzG edição fim do mundo, lol"	1
"Serio que o Brasil antes do PT e da Dilma era chamado de Finlândia???"	1
"Olé por Villalobos. Ironía "	1
"Fala de corrupção e vota no Aécio. Reclama do valor e assiste jogos da copa nos estádios. "	1
"Boa sorte!  "	1
" é a palavra de um Senador do PSDB contra a dela "	1
"Sou bué jeitoso... não se vê logo pela cara  "	1
"Iiupi vamos lá... Vai ser brutal ao molhos....   .."	1
"teve negada a prestação das contas de campanha! mas ele ñ esta no BBB pelo $  "	1
"Mas como é que vocês não viram que é um catavento, galera? Cês são burros?  "	1
" Parabéns pelo dia do Advogado! Falar q a PEC443 não aguenta 30 seg no Judiciário merece diploma automático! sqn "	1
"Trabalho / Sucesso / Amigos "	1
"BCE mantém taxas de juros inalteradas  Economia BCE Juros"	0
"colocou sim  "	1
" Uii claro  "	1
"Mas eu gosto bue saber aquelas cenas."	1
"Não limpam a chuteira do Márcio Araújo... meu10veste8  "	1
" Caramba é difícil o povo entender q vc colocou a msg com a  no final?Tem q desenhar??"	1
"Inocente..... “: Humberto Costa e J Otavio Germano em uma lista de corrupção???CAPAZ?????Quem diria....  Mode On”"	1
"Fantástica fonte de informações históricas sobre o Brasil ( Brasil Economia Governo"	0
"Estão descobrindo que o Malafaia é cheio de contradições? Oh... estou chocado... [pros desavisados]"	1
" uoohw lo esperanos con ansias "	1
"Um detalhe!! Vc pode até achar que está se dando bem.  Quem vê cara não vê coração. ;) :* Boa noite povo!!!"	1
"Receita abre consulta a primeiro lote de restituição do IR Economia >>>> "	0
"ESTÃO FELIZES, JULGARAM CONDENARAM E ESTÁ CUMPRINDO PENA, ESPERO Q O REENTEGREM  NA SOCIEDADE  TeamFernando"	1
"Sou tao boa a inglês meu deus devia dar aulas "	1
" amor, acabei de ganhar um monte de maquiagem Até pq eu adoro maquiagem "	1
"Senado aprova MP que permite saques do FGTS  economia"	0
"O amor promete aquecer a economia   .twitter.com/Lq1f9bot0G"	0
"Economia Oeste com financiamento de 10 milhões para pequenas e médias empresas  Em "	0
" tou tão feliz "	1
"Economia - Considerados os 39 países mais ricos. [fonte: Estadão] "	0
"Fiz 8 vôos rezando pra não morrer agora que tô em casa tô desejando ter morrido.  "	1
"Economia Como fazer para o carro gastar menos combustível »  | Via .twitter.com/9dXYeckYB1"	0
"  É eu sei bem que não existe crise nenhuma, "	1
"To vendo a hora de cunha gritar Vitória na guerra irmãos""  EntendedoresEntenderao"""	1
"Hahahaha RT : VemPraRua? Eu vim, e não tem ninguém... GloboMente  "	1
"Entendi....Eu só acho que a mãe deveria ter abortado quem é a favor...rsrs "	1
"MP estuda proibir torcida do Palmeiras em jogo do Palmeiras, do Corinthians em jogo do Corinthians. Para evitar brigas entre si..."	1
"Até entram em campo para cumprimentar o velho Renato. Tão velho e ainda a inspirar miudos  vaiputo renatosanches PORBUL"	1
"claro, precisamos de economia mas nem tanto... "	1
"Minha qualidade se torna meu maior defeito.. Vou explodir se noite der a real..sincera  chata eu."	1
"Malafaia também pediu?  "	1
"Rapaz! O Zé Dirceu foi preso de novo. Injustiçado! "	1
"...ciúme comigo é na base da ..."	1
"Maxuell, do Ferroviário, artilheiro do Brasil em 2017 com 4 gols em 2 jogos, fora da lista. Injustiça do Tite! JogodaAmizade "	1
"Eurico o melhor presidente do futebol brasileiro..... "	1
"É preciso tratar as bobagens como bobagens.       bobagem  humor avidaécurta"	1
"A lua de mel tem que ser em Buenos Aires mesmo, né? Globo precisava economizar depois do início da novela em Veneza economia PorAmorNoVIVA"	0
" destacou algo interessante, a  está entrando na justiça  contra o povo.  ou safadeza"	1
"OIT poderá apreciar denúncias de violações trabalhistas no Brasil  economia"	0
"Quando que o Zidane vai tirar o Benzema e colocar o Morata?  EntendoresEntenderam LaLiga"	1
"  topGearUK ... A TopGearIT manca  inglese SkyUno"	1
"isso é um absurdo!!! Tantas pessoas passando fome e donos de iPhone não conseguem trocar seus aparelhos, palhaçada... "	1
" gera ironia então vamos Ironizar! ! "	1
"Condenado pelo pecado original.Condenado por ser negro.Condenado por ser Moçambicano."	1
" Da vida! "	1
"  É,  ... Vc ñ deve confiar muito na mídia marrom não... Todo cuidado é pouco. "	1
"El dia continua dpm "	1
"Economia 8Jun BCV convoca tercera subasta Dicom Noticierovenevision "	0
"O candidato do Jerominho, do Natalino e da Carminha é  Não é o  q apoia bandidos? NãoFogeDoDebateCrivella"""	1
"Economia - Brasileiros retiram dinheiro da poupança para pagamento de dívidas "	0
"hahahahha bora! “: Será que já pagaram os salários de setembro, outubro e novembro?  spfc. ”"	1
"Estilo nórdico Ironía"	1
"Ja estou na escola, estou super mega feliz "	1
"Petróleo recua com atenção do mercado voltada aos estoques dos EUA economia: O Brasil precisa processar sua matéria prima e  exportar manu?"	0
"Economia Jornal de Negócios - 2017-05-30 .twitter.com/SL57uwOour"	0
"Pensei que tinham proibido as pessoas de portarem facas. Aumentem a pena para quem portar faca na praia, quem sabe resolve.  "	1
"Esto e o que eu chamo empezar ben o viaxe "	1
"Genre,  funciona melhor aqui no Twitter doq no instagram, viu?! prontofalei"	1
"SPFC é o time que mais chuta a bola a gol, isso antes do meio campo na libertadores.. Segundo a visão de alguns aqui.. "	1
"  Snoop Dogg é sinônimo de maconha e todos sabem disso, só a policia e a mídia que não... "	1
"  SIM, CARALHO! VOU TER QUE COLOCAR A TAG  NA PORRA TODA AGORA?"	1
"O meu nível de  depende sempre do grau do absurdo que fui obrigada a ouvir."	1
"  Et depois eles (em Madrid) dizem que eles não são nacionalistas "	1
"Depois quer escrachar a esquerda... Por essas que eu afirmo que Stalin matou foi pouco! "	1
"Até terremoto o PT trouxe pro Brasil. rsrsrs "	1
"Aprendi algumas mais, mas essas estão beeem explicadinhas!  temqueavisar"	1
"O time (futebol) nessa situação e vcs  vibrando com o Basquete? Pffff. ."	1
"Thor Batista absolvido... Alguém pensou que seria o contrário? Bandido bom é bandido morto"" SE for pobre, claro """	1
"Meu Deus, alguem não quer ir pra LA. O inferno vai congelar.  "	1
"Quem sofre 8 anos, sofre mais 8 nao é? "	1
"Em 2013 por causa de 0,20 o povo foi pra ruas de BH, em 2015 o reajuste é de 0,40 e todo mundo vai ficar quietinho   "	1
"Fraquinho  "	1
"Economía | Agricultura urbana produce 1.500 toneladas de alimentos   "	0
"O que dizer de Piracicaba? - Essa pohha tem mais radar do que placa fr.sinalização! Slc 1 radar a cada 100 m "	1
"Gente mais sem noção... como deixaram este abjeto (in)sujeito chegar lá? Que afronta é esta? hipocrisia cinismo  desrespeito"	1
"ah... e eles tiraram o presidente e resolveram todos os problemas, não é mesmo??? "	1
"Caraca veii!!!! Espantoso o quanto de criatividade que uma pessoa precisa para ter um Canal de React. "	1
"Nooo, para nada  LeViolaHardFijo"	1
"suposo que t'hi falta posar  al teu tuit i no baixes el teu nivell al del "	1
"Aquellas que os creeis fans pero olvidais a blas, me encantais, os lo juro "	1
"poxa este motora deve conhecer minha esposa. Hehehe. ."	1
"Comentaristas não , São experts em tudo , monstros , pessoas sabias !!!! sqn "	1
"Saiba mais sobre ironia em:  "	1
"Os funcionários do Subway trabalham com uma alegria contagiante "	1
"Pronto, podem liberar o Guerrero. "	1
"melhor jeito de acordar num dia de ""fim do mundo"" não tinha :D"	1
"O dia que chamaram o Lula de general. >.< "	1
"Chamar a guria de japa"" não é alguma espécie de preconceito? Malhação VivaADiferença """	1
"aprendizado fofura do fim de semana: Não julgueis para não ser julgado"". julgarécrime"""	1
"Poupança Premiada Sicredi contempla três associados da Sicredi Fronteiras Economia Regional Sicredi Prêmio..."	0
"JBS fez dossiê"" sobre coronel amigo do presidente  Economia """	0
" eh, amb amor "	1
"Mas tem que ter aparecido na TV, né. Pelo menos num canal qualquer ..."	1
"Confesso Q Estou Apaixonada Pelo  Me Leva no morrinho a Kéfera não vai ficar sabendo "	1
" tenho preconceito mesmo. Vem falar desse negocio de tirar o estado da economia. Não sou obrigado sabe. "	1
"' ya é o olho do cu tas a ver   'Ahahah "	1
", perder para aprender a ganar."	1
"Parabéns aos envolvidos! "	1
"Que alegria, que alboroto  jahaha"	1
"hahahah loucura, né.Tirar do Kleber Andrade onde estamos 100% para ir pro Maraca. EBM deveria pensar no lado esportivo. "	1
"não entendo essa coisa de chamar de galinha sendo que elas que sempre são depenadas... "	1
"Charles Baudelaire umorista (n=23)drzap umorismo ridere  buonumore humor divertente aforismi"	1
"Economia e Capitalismo: Segundo o governo, PIB do 1º trimestre será positi...  economia Brasil IBGE"	0
"Seguiteci anche su  magazine  coccinellablu "	1
"isso que chamo de pensamento positivo eihm?!?  "	1
"Ministério do Trabalho lança aplicativo para ajudar na busca por emprego SuperConteúdo Economia "	0
"SOCORRO VAMO mas a praia de santos eh melhor JKKKKKK K K K K K K KK K K K K K K K KK  piadas"	1
"Af' lá vem o Melhor dos Melhores "	1
"Que diiiver es comer sola ironía"	1
"No Brasil é assim quando um pobre rouba vai pra cadeia, mas quando rico rouba, vira Ministro!"" Lula em 1988 """	1
"Economia: Agência Moody's corta nota da China pela 1ª vez em 25 anos "	0
"Mujica coxinha e odeia pobre viajando de avião.kkkkkkkkkkkkkkkk  KKK mensalao Vergonha kkk"	1
"opinião |  Líder do PT na Câmara afirma que solução para economia é oposto que prega . "	0
"Em Agosto na Colômbia Congresso Internacional Bonaventuriano de Economia e Desenvolvimento bogota  "	0
"Eu odeio gente que grita no ouvido dos outros. - Terezinha VaiQueColaEp37 "	1
"Mega-Sena acumula e pode pagar até R$ 6,5 milhões  Economia "	0
"Turismo em Belford Roxo? Partiu!  "	1
"Nunca mais te vais aborrecer""  '-'"""	1
" vamo tirar o tite de la ele estudou futebol e nao sabe nada o renatao  no lugar ja "	1
"Bondade humana: verdade ou mito? Até que ponto as pessoas se preocupam ou fingem preocupar-se com os outros? Hoje no Globo Reporter "	1
" alma boa tá aí.... "	1
"Ao meio da crise ele compra algo que não pode faltar na casa de todo cidadão de bem.   "	1
"Crise na JBS bagunça mercado de boi gordo  economia"	0
"  o peloteo con "	1
"seguro tiah. Pos claro "	1
"O dani cantou uma música linda pra nois. "	1
"eae palmeirences  do meu face o peixe  estava bom ? kkkkkkk "	1
"Que baita melhora  "	1
"Aproveita Corinthians.  "	1
"Para as amigas solteiras!  diadosnamorados murri  pegadinha vaiumbeijinhoaê aluguel… "	1
"Culpa do FHC "	1
"Economia & Negócios já saiu!  economia finanças"	0
"Ah merda. Mulher precisa gozar é?  "	1
"Estar de férias e acordar na mesma às 7:30... Bravo!!  "	1
"O  passou a apoiar o movimento O Sul é o meu país"". Não querem mais saber destes ""Brasileiros"". Apoio SemSerieB """	1
" Para nada Ironía"	1
"Não podemos perder o apoio diplomático do Equador! foratemer voltadilma "	1
"Reunião da Comissão de Economia: vereadores acabam de admitir o projeto que fixa as diretrizes orçamentárias para 2018."	0
"Consulta ao IR começa nesta quinta-feira   ir impostoderenda economia folhape"	0
"Que finde mas divertido me espera "	1
"Economia Jornal de Negócios - 2017-05-22 .twitter.com/Bp5pFSvvH6"	0
"   HAHAHAHA Q ENGRAÇADO t3ddycarente "	1
"O fim do mundo vai acabar cm chuvas rsrsrsrsrs"	1
"Odeio ser bipolar.... é maravilhoso!!!! Sdv  fimdeano vem2017"	1
"Diário ♔DAVINIANAS   já saiu!  Graças a    uol economia"	0
"Globo, Folha, Estadão e Veja vão pressionar PSDB e PMDB a seguir atitude do PT sobre não aceitar mais $$ de empresas? "	1
"Aula com a Ginita ao primeiro tempo! Que bom! "	1
"Brasil só ganha em competitividadede Mongólia e Venezuela  economia"	0
"Os gajos que me querem comer têm imenso respeito, só mandam mensagem quando fico solteira "	1
"EuAmoAsFériasPq - Tenho que estudar para os exames- Não posso ver televisão- Tenho episódios em atraso"	1
"psicologia juridica profesor particular Economía  blog blogger"	0
"Gosto deste futebol bonito do Falcão.Lembra o Brasil de 1982.Não ganha nada.Mas é bonito.."	1
"Aaain delicia morar em frente a uma escola  "	1
"O problema, o problema não reside no fato de eu ter fracassado, mas no sucesso do outro.  Realidade"	1
"Beijos pros brasileiros que mandam emails com tanto estrangeirismo que afinal não entendemos a msg. Conselho: escrevam tdo em inglês "	1
"Vai CORAÇÃO VALENTE!  : Casas de câmbio já vendem dólar a mais de R$ 3: """	1
"Esse Alex tá suave"" hj né... verdadesecretas"""	1
"O Rio de Janeiro tem que Quebrar Economia SkinInTheGame finançasPúblicas "	0
" RioMaisTaxis PorqueTaPouco OnibusOcupaMuitoEspaco [] pq né"	1
"Man, a Austrália fica ao pé da Alemanha! "	1
"Agora com o  Kalil  isso se resolve.  Afinal  é  bem  próximo do  Estádio  Independência,  o qual ele frequenta.  "	1
"Kdo os prog d Extraterrestres do Historia fazem + sentido (e sao + interessantes) do k os Noticiários nacionais,,, "	1
"Que ironia, gastar o que não tem no Maicon, e o cara entrega o jogo dessa forma, valeu os 22 milhões? GodOfZaga Sqn  Libertadores"	1
"que va, para nada!!  debate13J"	1
" (antes que alguém me pergunte se é vdd)"	1
"Agora vai!  Como alguém bem perguntou: e se o presidente for envolvido vai se auto afastar? "	1
"Fala sério... vergonha cadadiapior culpadadilma  palhaçada "	1
"Precisamos organizar uma passeata em favor do Cunha! Preso político! Justiça comprada! Mídia golpista!  "	1
"Não podemos achar que um resultado típico contra o Esquadrão do Volta Redonda seja mau sinal para o Vasco. rascunhobatebola "	1
"Em Terra"" sem lei, a Democracia é crime ClintonTemSalvação  """	1
"News: Economia agricola: crescono investimenti, retribuzioni e occupazione, ma cala il valore aggiunto  OssAGR"	0
"O dia de hoje tá sendo um dos melhores dias, calordaporra diachato "	1
"Só aceito ser segunda opção se a primeira for melhor que eu. Humildade Modéstia  — se sentindo sarcástico"	1
". antecipa saque do FGTS para nascidos em setembro, outubro e novembro       Economia "	0
"Gostaria de mandar meus parabéns para as blogueiras fitness que dão dicas de exercícios, afinal hoje é dia do educador físico. "	1
"Esqueci de usar a hashtag  e estou pagando o preço."	1
"... Vamos rever essa vontade de viver até a ultima gota aí porque tá estranho. conselhododia   vergonhanacaranãodói :*"	1
"Sobre a prisão de Eike Batista:  Queria ser o fotografo da policia só para dizer: "" Agora diga X"" Maldade  LiPorAí rsrsrx"""	1
"Economia: 'Crise é chance para Brasil melhorar sua imagem no exterior', diz especialista em marcas de países "	0
"  Problema nenhum em torcer pelo vice da Dilma... "	1
"  que sorpresa... "	1
"Reclama mais de arbitragem aí, quem sabe assim a gente ganha o brasileiro 2016. "	1
"Parabéns , parcialidade nenhuma né?!"	1
"É de aplaudir de pé essa galera que fala mal de ex, mas se ele estralar os dedo, ta lá chupando o pau dele "	1
"PSDB ADORA TANTO A MERITOCRACIA QUE SÓ A GALERA QUE ESTUDA, PASSA "	1
"kkkkkSó  no MSN de hoje.Em Portugal, Moro fala de “anseio da sociedade brasileira por um país mais limpo” "	1
"RT : Ahuahuahua   RT """	1
"Comigo Vooc Nn cria , Passo o baton da  Desparo a arma secreta Q é meu sorriso 󾮞󾮞 "	1
"Adoro Peppia e la sua  politica !  love"	1
"Tanta gente no mundo e os raios caem nas arvores. ironica sesitua"	1
"Vivo pra ver crítico de tv ironizando com comentários dos leitores. "	1
"crec que feia mooolta falta aquesta aclaració de """	1
"Por que ele tirou o Pato? "	1
"Logo de manhã já ter de usar de Sarcasmo para coisas mais que óbvias  Irônia Impaciência"	1
" quer disser que Polícia de São Paulo bate em manifestantes. Estou surpreso! "	1
"   Deixa-ho. Crec que no ho has entés. "	1
"RT @idetinha: falta menos de 24 horas pro fim do mundo, gremistas torcendo mt pra Gabi Markus pro mundo não terminar sem um título pra eles hahahaha"	1
"Mas cm eu só tiro 5"" a tudo eu nao posso ir para lá   """	1
"Como vai ser a programação do fim do mundo? Vai dar meia noite vai acabar tudo, ou vai ter tempo pra saquear umas lojas e tal??? #QDuvida "	1
"Achei uma decisão assim bem sensata "	1
"aff mano a pessoa nao entende quee e "	1
"Observatorio del SectorSocial de la Economía (OSSE)"	0
"Vou começar a colocar  nos meus tweets, pq smp tem alguém q n entende hahaha"	1
"(palmas) É assim que o Brasil vai pra frente.  "	1
"VAI MONSTRO!   monstro academia frasedodia frases quote quotes humor "	1
"minha irmã desenhando bart simpson e eu nao sei fazer nem um circulo."	1
"e não é?  derruba umas igrejas históricas aí tem muita mesmo né?  Bota espigão em Centro Velho... "	1
"Ele é torcedor do racing e simpatizante do flamengo. "	1
"Correios começam a vender chips de celular no Rio de Janeiro  economia"	0
"   está tua resposta fez imenso sentido "	1
"CVM abre novos processos para investigar a JBS economia  via "	0
"Quem precisa do inoperante Neymar"" quando se tem Douglas Costa né? """	1
"Como eu amooooooo meu governo oraquemelhoraaa afffffff"	1
"Bastardinho de Azeitão? Não há mais! finanças economia dinheiro"	0
"Petrobras anuncia reajuste de 6,7% no preço do gás de botijão .Veja mais detalhes no site.   Economia Notícias"	0
"Uhhh, vai vendo... Hahahaha AlinneIrônica AlinneRosa Alinnistas DiaDosNamorados Humor … "	1
"Cidade de Lagos promove 1º meeting de empreendedorismoempreendedorismo economia"	0
" Homem rico bate em mulher é romance em 50 tons de cza. Já pobre agride mulher é Lei Maria da Penha. Kkk"	1
"Matemática A...como eu te amo  "	1
"Continua abraçando teus inimigos que tu vai aprender muito mais do que comigo que sou teu amigo... "	1
" na jogada anterior estava a manda-lo pro caralho. "	1
"Mesmoooo bomdiaaa goodmorning buenosdias bonjour bongiorno gutentag  "	1
"xico Sá sempre marcando presença na TV que os petistas chamam de golpistas.... reflexao"	1
"Meu domingo já inicio bem "	1
"Estamos em uma geração tão mimimi que daqui a pouco rola processo na Nutella porque não tem Nutella branca. "	1
"Despido inhumano...Viñetas Humor Crítica Ironía "	1
"A Nintendo saindo do Brasil e os caras reclamando de passagem de ônibus? Por favor né, QUERO MEU NINTENDO MAIS BARATO VoltaNintendo "	1
"Ué cadê o brocador nessa lista?   "	1
"E agora, fomos reabilitados pela Veja.  "	1
"A moda é ir p rave, postar um vídeo dançando e colocAr frita comigo"". Agora você é do gueto! """	1
"Cocacola a separar casais desde 1886. cocacola  upss stillla"	1
"Alemanha acusa Audi de fraudar testes de emissão de diesel  economia"	0
"Agora votem em Luxemburgo para senador no Tocantins. Esse tem meu voto. "	1
"Quero dar as grazas ao traballador de Viaqua que subiu toda a rúa de San Pedro cunha media de 30-40km.  impresentable denunciaos"	1
"Acho que eu preciso marcar com  alguns tweets pra galera entender"	1
"tipo isso, pensa pelo lado positivo cara, empatar fora de casa é um bom resultado kkkkkkk "	1
